example_id                                       | status | run_time        |
./spec/routes/config_routes_spec.rb[1:2:1:3]     | passed | 0.00024 seconds |
./spec/routes/config_routes_spec.rb[1:2:1:4]     | passed | 0.0006 seconds  |
./spec/routes/config_routes_spec.rb[1:2:1:5]     | passed | 0.00022 seconds |
./spec/routes/config_routes_spec.rb[1:2:1:6]     | passed | 0.00022 seconds |
./spec/routes/config_routes_spec.rb[1:2:1:7]     | passed | 0.00041 seconds |
./spec/routes/config_routes_spec.rb[1:2:2:1]     | passed | 0.00055 seconds |
./spec/routes/config_routes_spec.rb[1:2:3:1]     | passed | 0.00051 seconds |
./spec/routes/config_routes_spec.rb[1:2:4:1]     | passed | 0.00041 seconds |
./spec/routes/config_routes_spec.rb[1:2:4:2]     | passed | 0.00027 seconds |
./spec/routes/config_routes_spec.rb[1:2:5:1]     | passed | 0.00024 seconds |
./spec/routes/config_routes_spec.rb[1:2:5:2]     | passed | 0.00025 seconds |
./spec/routes/config_routes_spec.rb[1:2:6:1]     | passed | 0.00097 seconds |
./spec/routes/config_routes_spec.rb[1:2:6:2]     | passed | 0.00031 seconds |
./spec/routes/config_routes_spec.rb[1:2:7:1]     | passed | 0.00026 seconds |
./spec/routes/config_routes_spec.rb[1:2:7:2]     | passed | 0.00025 seconds |
./spec/routes/config_routes_spec.rb[1:3:1]       | passed | 0.00216 seconds |
./spec/routes/config_routes_spec.rb[1:3:2]       | passed | 0.00038 seconds |
./spec/routes/config_routes_spec.rb[1:3:3]       | passed | 0.00065 seconds |
./spec/routes/config_routes_spec.rb[1:3:4]       | passed | 0.00042 seconds |
./spec/routes/config_routes_spec.rb[1:3:5]       | passed | 0.00038 seconds |
./spec/routes/config_routes_spec.rb[1:3:6]       | passed | 0.00172 seconds |
./spec/routes/household_routes_spec.rb[1:1:1]    | passed | 0.00091 seconds |
./spec/routes/household_routes_spec.rb[1:1:2]    | passed | 0.00709 seconds |
./spec/routes/household_routes_spec.rb[1:2:1]    | passed | 0.00283 seconds |
./spec/routes/household_routes_spec.rb[1:2:2]    | passed | 0.00088 seconds |
./spec/routes/household_routes_spec.rb[1:3:1]    | passed | 0.00099 seconds |
./spec/routes/household_routes_spec.rb[1:3:2]    | passed | 0.00293 seconds |
./spec/routes/household_routes_spec.rb[1:3:3]    | passed | 0.00033 seconds |
./spec/routes/household_routes_spec.rb[1:4:1]    | passed | 0.0023 seconds  |
./spec/routes/household_routes_spec.rb[1:4:2]    | passed | 0.0003 seconds  |
./spec/routes/household_routes_spec.rb[1:5:1]    | passed | 0.00472 seconds |
./spec/routes/household_routes_spec.rb[1:5:2]    | passed | 0.0012 seconds  |
./spec/routes/job_routes_spec.rb[1:1:1]          | passed | 0.00246 seconds |
./spec/routes/job_routes_spec.rb[1:1:2]          | passed | 0.01155 seconds |
./spec/routes/job_routes_spec.rb[1:2:1]          | passed | 0.00988 seconds |
./spec/routes/job_routes_spec.rb[1:2:2]          | passed | 0.00572 seconds |
./spec/routes/job_routes_spec.rb[1:3:1]          | passed | 0.00857 seconds |
./spec/routes/job_routes_spec.rb[1:3:2]          | passed | 0.00528 seconds |
./spec/routes/job_routes_spec.rb[1:3:3]          | passed | 0.00274 seconds |
./spec/routes/job_routes_spec.rb[1:4:1]          | passed | 0.00594 seconds |
./spec/routes/job_routes_spec.rb[1:4:2]          | passed | 0.0039 seconds  |
./spec/routes/job_routes_spec.rb[1:5:1]          | passed | 0.01186 seconds |
./spec/routes/job_routes_spec.rb[1:5:2]          | passed | 0.0025 seconds  |
